证券代码,证券名称,交易所名称,上市日期,上市板块,所属行业
000001,平安银行,深圳证券交易所,1991-04-03,主板,待补充
000002,万  科Ａ,深圳证券交易所,1991-01-29,主板,待补充
000004,*ST国华,深圳证券交易所,1990-12-01,主板,待补充
000006,深振业Ａ,深圳证券交易所,1992-04-27,主板,待补充
000007,全新好,深圳证券交易所,1992-04-13,主板,待补充
000008,神州高铁,深圳证券交易所,1992-05-07,主板,待补充
000009,中国宝安,深圳证券交易所,1991-06-25,主板,待补充
000010,美丽生态,深圳证券交易所,1995-10-27,主板,待补充
000011,深物业A,深圳证券交易所,1992-03-30,主板,待补充
000012,南  玻Ａ,深圳证券交易所,1992-02-28,主板,待补充
000014,沙河股份,深圳证券交易所,1992-06-02,主板,待补充
000016,深康佳Ａ,深圳证券交易所,1992-03-27,主板,待补充
000017,深中华A,深圳证券交易所,1992-03-31,主板,待补充
000019,深粮控股,深圳证券交易所,1992-10-12,主板,待补充
000020,深华发Ａ,深圳证券交易所,1992-04-28,主板,待补充
000021,深科技,深圳证券交易所,1994-02-02,主板,待补充
000025,特  力Ａ,深圳证券交易所,1993-06-21,主板,待补充
000026,飞亚达,深圳证券交易所,1993-06-03,主板,待补充
000027,深圳能源,深圳证券交易所,1993-09-03,主板,待补充
000028,国药一致,深圳证券交易所,1993-08-09,主板,待补充
000029,深深房Ａ,深圳证券交易所,1993-09-15,主板,待补充
000030,富奥股份,深圳证券交易所,1993-09-29,主板,待补充
000031,大悦城,深圳证券交易所,1993-10-08,主板,待补充
000032,深桑达Ａ,深圳证券交易所,1993-10-28,主板,待补充
000034,神州数码,深圳证券交易所,1994-05-09,主板,待补充
000035,中国天楹,深圳证券交易所,1994-04-08,主板,待补充
000036,华联控股,深圳证券交易所,1994-06-17,主板,待补充
000037,深南电A,深圳证券交易所,1994-07-01,主板,待补充
000039,中集集团,深圳证券交易所,1994-04-08,主板,待补充
000042,中洲控股,深圳证券交易所,1994-09-21,主板,待补充
000045,深纺织Ａ,深圳证券交易所,1994-08-15,主板,待补充
000048,京基智农,深圳证券交易所,1994-11-01,主板,待补充
000049,德赛电池,深圳证券交易所,1995-03-20,主板,待补充
000050,深天马Ａ,深圳证券交易所,1995-03-15,主板,待补充
000055,方大集团,深圳证券交易所,1996-04-15,主板,待补充
000056,皇庭国际,深圳证券交易所,1996-07-08,主板,待补充
000058,深 赛 格,深圳证券交易所,1996-12-26,主板,待补充
000059,华锦股份,深圳证券交易所,1997-01-30,主板,待补充
000060,中金岭南,深圳证券交易所,1997-01-23,主板,待补充
000061,农 产 品,深圳证券交易所,1997-01-10,主板,待补充
000062,深圳华强,深圳证券交易所,1997-01-30,主板,待补充
000063,中兴通讯,深圳证券交易所,1997-11-18,主板,待补充
000065,北方国际,深圳证券交易所,1998-06-05,主板,待补充
000066,中国长城,深圳证券交易所,1997-06-26,主板,待补充
000068,华控赛格,深圳证券交易所,1997-06-11,主板,待补充
000069,华侨城Ａ,深圳证券交易所,1997-09-10,主板,待补充
000070,特发信息,深圳证券交易所,2000-05-11,主板,待补充
000078,海王生物,深圳证券交易所,1998-12-18,主板,待补充
000088,盐 田 港,深圳证券交易所,1997-07-28,主板,待补充
000089,深圳机场,深圳证券交易所,1998-04-20,主板,待补充
000090,天健集团,深圳证券交易所,1999-07-21,主板,待补充
000096,广聚能源,深圳证券交易所,2000-07-24,主板,待补充
000099,中信海直,深圳证券交易所,2000-07-31,主板,待补充
000100,TCL科技,深圳证券交易所,2004-01-30,主板,待补充
000151,中成股份,深圳证券交易所,2000-09-06,主板,待补充
000153,丰原药业,深圳证券交易所,2000-09-20,主板,待补充
000155,川能动力,深圳证券交易所,2000-09-26,主板,待补充
